📺央视,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
CCTV1综合,https://yangshipin.cn/tv/home?pid=600001859
CCTV2财经,https://yangshipin.cn/tv/home?pid=600001800
CCTV3综艺,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk
CCTV3综艺,https://yangshipin.cn/tv/home?pid=600001801
CCTV4中文国际,https://yangshipin.cn/tv/home?pid=600001814
CCTV5体育,https://yangshipin.cn/tv/home?pid=600001818
CCTV6电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728804b1f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdazJhFQmuq4XUiks9ZrIlJN%2BknLs8H%2BSxcDXy%2BTesEc8Q0KCN89MjYoj85Sol1kbKI4
CCTV6电影,https://yangshipin.cn/tv/home?pid=600001802
CCTV7国防军事,https://yangshipin.cn/tv/home?pid=600004092
CCTV8电视剧,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728970aa82/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdaymid9ta2tVUW0%2FdVrFqszC1EVEkAbpip1IYxn%2Ba2aA%2BVAihIiw9D8ejUsDbfU0K68
CCTV8电视剧,https://yangshipin.cn/tv/home?pid=600001803
CCTV9纪录,https://yangshipin.cn/tv/home?pid=600004078
CCTV10科教,https://yangshipin.cn/tv/home?pid=600001805
CCTV11戏曲,https://yangshipin.cn/tv/home?pid=600001806
CCTV12社会与法,https://yangshipin.cn/tv/home?pid=600001807
CCTV13新闻,https://yangshipin.cn/tv/home?pid=600001811
CCTV14少儿,https://yangshipin.cn/tv/home?pid=600001809
CCTV15音乐,https://yangshipin.cn/tv/home?pid=600001815
CCTV16奥林匹克,https://yangshipin.cn/tv/home?pid=600098637
CCTV17农业农村,https://yangshipin.cn/tv/home?pid=600001810
CCTV5+体育赛事,https://yangshipin.cn/tv/home?pid=600001817
CCTV4K,https://yangshipin.cn/tv/home?pid=600002264

📡卫视,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
湖南卫视,https://www.yangshipin.cn/tv/home?pid=600002475
安徽卫视,https://www.yangshipin.cn/tv/home?pid=600002532
北京卫视,https://www.yangshipin.cn/tv/home?pid=600002309
重庆卫视,https://www.yangshipin.cn/tv/home?pid=600002531
东方卫视,https://www.yangshipin.cn/tv/home?pid=600002483
东南卫视,https://www.yangshipin.cn/tv/home?pid=600002484
广东卫视,https://www.yangshipin.cn/tv/home?pid=600002485
贵州卫视,https://www.yangshipin.cn/tv/home?pid=600002490
河北卫视,https://www.yangshipin.cn/tv/home?pid=600002493
河南卫视,https://www.yangshipin.cn/tv/home?pid=600002525
黑龙江卫视,https://www.yangshipin.cn/tv/home?pid=600002498
湖北卫视,https://www.yangshipin.cn/tv/home?pid=600002508
江苏卫视,https://www.yangshipin.cn/tv/home?pid=600002521
辽宁卫视,https://www.yangshipin.cn/tv/home?pid=600002505
山东卫视,https://www.yangshipin.cn/tv/home?pid=600002513
四川卫视,https://www.yangshipin.cn/tv/home?pid=600002516
浙江卫视,https://www.yangshipin.cn/tv/home?pid=600002520
广西卫视,https://www.yangshipin.cn/tv/home?pid=600002509
海南卫视,https://www.yangshipin.cn/tv/home?pid=600002506
深圳卫视,https://www.yangshipin.cn/tv/home?pid=600002481

📺地方,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
湖南经视,https://live.mgtv.com/?channelId=280
湖南都市,https://live.mgtv.com/?channelId=346
湖南娱乐,https://live.mgtv.com/?channelId=344
湖南电影,https://live.mgtv.com/?channelId=221
湖南电视剧,https://live.mgtv.com/?channelId=484
