央视,#genre#
CCTV1综合,https://taiji.serv00.net/Live/php/aikan.php?id=cctv1
CCTV2财经,https://taiji.serv00.net/Live/php/aikan.php?id=cctv2
CCTV3综艺,https://taiji.serv00.net/Live/php/aikan.php?id=cctv3
CCTV4中文国际,https://taiji.serv00.net/Live/php/aikan.php?id=cctv4
CCTV4欧洲,https://taiji.serv00.net/Live/php/aikan.php?id=cctv4o
CCTV4美洲,https://taiji.serv00.net/Live/php/aikan.php?id=cctv4a
CCTV5体育,https://taiji.serv00.net/Live/php/aikan.php?id=cctv5
CCTV5+体育赛事,https://taiji.serv00.net/Live/php/aikan.php?id=cctv5p2
CCTV6电影,https://taiji.serv00.net/Live/php/aikan.php?id=cctv6
CCTV7国防军事,https://taiji.serv00.net/Live/php/aikan.php?id=cctv7
CCTV8电视剧,https://taiji.serv00.net/Live/php/aikan.php?id=cctv8
CCTV9纪录,https://taiji.serv00.net/Live/php/aikan.php?id=cctv9
CCTV10科教,https://taiji.serv00.net/Live/php/aikan.php?id=cctv10
CCTV11戏曲,https://taiji.serv00.net/Live/php/aikan.php?id=cctv11
CCTV12社会与法,https://taiji.serv00.net/Live/php/aikan.php?id=cctv12
CCTV13新闻,https://taiji.serv00.net/Live/php/aikan.php?id=cctv13
CCTV14少儿,https://taiji.serv00.net/Live/php/aikan.php?id=cctv14
CCTV15音乐,https://taiji.serv00.net/Live/php/aikan.php?id=cctv15
CCTV17农业农村,https://taiji.serv00.net/Live/php/aikan.php?id=cctv17
CGTN西语,https://taiji.serv00.net/Live/php/aikan.php?id=cgtne
CGTN阿语,https://taiji.serv00.net/Live/php/aikan.php?id=cgtna
CHC家庭影院,https://taiji.serv00.net/Live/php/aikan.php?id=chcjtyy

卫视,#genre#
北京卫视,https://taiji.serv00.net/Live/php/aikan.php?id=bjws
东方卫视,https://taiji.serv00.net/Live/php/aikan.php?id=dfws
东方卫视,https://taiji.serv00.net/Live/php/aikan.php?id=dfws2
重庆卫视,https://taiji.serv00.net/Live/php/aikan.php?id=cqws
吉林卫视,https://taiji.serv00.net/Live/php/aikan.php?id=jlws
辽宁卫视,https://taiji.serv00.net/Live/php/aikan.php?id=lnws
内蒙古卫视,https://taiji.serv00.net/Live/php/aikan.php?id=nmws
宁夏卫视,https://taiji.serv00.net/Live/php/aikan.php?id=nxws
甘肃卫视,https://taiji.serv00.net/Live/php/aikan.php?id=gsws
青海卫视,https://taiji.serv00.net/Live/php/aikan.php?id=qhws
陕西卫视,https://taiji.serv00.net/Live/php/aikan.php?id=sxws
山东卫视,https://taiji.serv00.net/Live/php/aikan.php?id=sdws
湖北卫视,https://taiji.serv00.net/Live/php/aikan.php?id=hubws
湖南卫视,https://taiji.serv00.net/Live/php/aikan.php?id=hunws
江西卫视,https://taiji.serv00.net/Live/php/aikan.php?id=jxws
江苏卫视,https://taiji.serv00.net/Live/php/aikan.php?id=jsws
广东卫视,https://taiji.serv00.net/Live/php/aikan.php?id=gdws
广东卫视,https://taiji.serv00.net/Live/php/aikan.php?id=gdws2
大湾区卫视,https://taiji.serv00.net/Live/php/aikan.php?id=dwqws
四川卫视,https://taiji.serv00.net/Live/php/aikan.php?id=scws
新疆卫视,https://taiji.serv00.net/Live/php/aikan.php?id=xjws
西藏卫视,https://taiji.serv00.net/Live/php/aikan.php?id=xzws
海南卫视,https://taiji.serv00.net/Live/php/aikan.php?id=hinws
