央视,#genre#
CCTV1,https://qist.cc/live/gzyd.php?id=cctv1
CCTV2,https://qist.cc/live/gzyd.php?id=cctv2
CCTV3,https://qist.cc/live/gzyd.php?id=cctv3
CCTV4,https://qist.cc/live/gzyd.php?id=cctv4
CCTV4欧洲,https://qist.cc/live/gzyd.php?id=cctv4o
CCTV4美洲,https://qist.cc/live/gzyd.php?id=cctv4a
CCTV5,https://qist.cc/live/gzyd.php?id=cctv5
CCTV5+,https://qist.cc/live/gzyd.php?id=cctv5p
CCTV6,https://qist.cc/live/gzyd.php?id=cctv6
CCTV7,https://qist.cc/live/gzyd.php?id=cctv7
CCTV8,https://qist.cc/live/gzyd.php?id=cctv8
CCTV9,https://qist.cc/live/gzyd.php?id=cctv9
CCTV10,https://qist.cc/live/gzyd.php?id=cctv10
CCTV11,https://qist.cc/live/gzyd.php?id=cctv11
CCTV12,https://qist.cc/live/gzyd.php?id=cctv12
CCTV13,https://qist.cc/live/gzyd.php?id=cctv13
CCTV14,https://qist.cc/live/gzyd.php?id=cctv14
CCTV15,https://qist.cc/live/gzyd.php?id=cctv15
CCTV17,https://qist.cc/live/gzyd.php?id=cctv17
CCTV兵器科技,https://qist.cc/live/gzyd.php?id=bqkj
CCTV世界地理,https://qist.cc/live/gzyd.php?id=sjdl
CCTV央视台球,https://qist.cc/live/gzyd.php?id=ystq
CCTV女性时尚,https://qist.cc/live/gzyd.php?id=nxss
CCTV怀旧剧场,https://qist.cc/live/gzyd.php?id=hjjc
CCTV文化精品,https://qist.cc/live/gzyd.php?id=whjp
CCTV电视指南,https://qist.cc/live/gzyd.php?id=dszn
CCTV第一剧场,https://qist.cc/live/gzyd.php?id=dyjc
CCTV风云剧场,https://qist.cc/live/gzyd.php?id=fyjc
CCTV风云足球,https://qist.cc/live/gzyd.php?id=fyzq
CCTV风云音乐,https://qist.cc/live/gzyd.php?id=fyyy
CCTV高尔夫网球,https://qist.cc/live/gzyd.php?id=gefwq
CGTN-新闻频道,https://qist.cc/live/gzyd.php?id=cgtn
CGTN-纪录频道,https://qist.cc/live/gzyd.php?id=cgtnjl
CGTN俄语频道,https://qist.cc/live/gzyd.php?id=cgtnr
CGTN法语频道,https://qist.cc/live/gzyd.php?id=cgtnf
CGTN西班牙语频道,https://qist.cc/live/gzyd.php?id=cgtne
CGTN阿拉伯语频道,https://qist.cc/live/gzyd.php?id=cgtna

卫视,#genre#
东南卫视,https://qist.cc/live/gzyd.php?id=dnws
东方卫视,https://qist.cc/live/gzyd.php?id=dfws
北京卫视,https://qist.cc/live/gzyd.php?id=bjws
吉林卫视,https://qist.cc/live/gzyd.php?id=jlws
四川卫视,https://qist.cc/live/gzyd.php?id=scws
天津卫视,https://qist.cc/live/gzyd.php?id=tjws
安徽卫视,https://qist.cc/live/gzyd.php?id=ahws
山东卫视,https://qist.cc/live/gzyd.php?id=sdws
广东卫视,https://qist.cc/live/gzyd.php?id=gdws
江苏卫视,https://qist.cc/live/gzyd.php?id=jsws
江西卫视,https://qist.cc/live/gzyd.php?id=jxws
河北卫视,https://qist.cc/live/gzyd.php?id=hnbws
