YouTube,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
凤凰资讯,https://www.youtube.com/watch?v=if6yQq_JJyY
TVBS HD,https://www.youtube.com/watch?v=YvdcZ_jpLXE
TVBS新闻,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
东森新闻,https://www.youtube.com/watch?v=S5WOGu2HSes
东森LIVE,https://www.youtube.com/watch?v=R2iMq5LKXco
东森财经新闻,https://www.youtube.com/watch?v=WHEPzbFA3hw
中天新闻,https://www.youtube.com/watch?v=oIgbl7t0S_w
寰宇新闻,https://www.youtube.com/watch?v=B7Zp3d6xXWw
中视新闻,https://www.youtube.com/watch?v=TCnaIE_SAtM
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8
民视新闻台,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立新闻,https://www.youtube.com/watch?v=oZdzzvxTfUY
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
公视新闻,https://www.youtube.com/watch?v=quwqlazU-c8
