央视,#genre#
CCTV1[综合],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[综合],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1[综合],http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1[综合],http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV1[综合],http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1[综合],http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV2[财经],http://39.134.115.163:8080/TVOD/88888910/224/3221225619/index.m3u8
CCTV2[财经],http://39.134.115.163:8080/TVOD/88888910/224/3221225643/index.m3u8
CCTV2[财经],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV2[财经],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8
CCTV3[综艺],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3[综艺],http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV3[综艺],http://39.134.115.163:8080/TVOD/88888910/224/3221225647/index.m3u8
CCTV3[综艺],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV4[国际],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4[国际],http://red.ipfox.org:8080/osama2022/osama2023/49212
CCTV4[国际],http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
CCTV4[国际],http://111.20.33.93/TVOD/88888893/224/3221226223/index.m3u8
CCTV4[国际],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV5[体育],http://39.134.115.163:8080/TVOD/88888910/224/3221225633/index.m3u8
CCTV5[体育],http://39.134.115.163:8080/TVOD/88888910/224/3221225648/index.m3u8
CCTV5[体育],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV5[体育],http://111.20.33.70/TVOD/88888893/224/3221226395/index.m3u8
CCTV5[体育],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel5/index.m3u8
CCTV5+[体育],http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+[体育],http://39.134.115.163:8080/TVOD/88888910/224/3221225706/index.m3u8
CCTV5+[体育],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV5+[体育],http://111.20.33.70/TVOD/88888893/224/3221226221/index.m3u8
CCTV5+[体育],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel13/index.m3u8
CCTV6[电影],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV6[电影],http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6[电影],http://39.134.115.163:8080/TVOD/88888910/224/3221225632/index.m3u8
CCTV6[电影],http://111.20.33.93/TVOD/88888893/224/3221226393/index.m3u8
CCTV6[电影],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV6[电影],http://111.20.33.70/TVOD/88888893/224/3221226393/index.m3u8
CCTV7[军事],http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7[军事],http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7[军事],http://39.134.115.163:8080/TVOD/88888910/224/3221225650/index.m3u8
CCTV7[军事],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV7[军事],http://111.20.33.70/TVOD/88888893/224/3221226192/index.m3u8
CCTV7[军事],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel7/index.m3u8
CCTV8[电视剧],http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV8[电视剧],http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8[电视剧],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel8/index.m3u8
CCTV8[电视剧],http://39.134.115.163:8080/TVOD/88888910/224/3221225624/index.m3u8
CCTV8[电视剧],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV8[电视剧],http://111.20.33.93/TVOD/88888893/224/3221226391/index.m3u8
CCTV9[纪录],http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9[纪录],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV9[纪录],http://111.20.33.93/TVOD/88888893/224/3221226197/index.m3u8
CCTV9[纪录],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8
CCTV9[纪录],http://39.134.115.163:8080/TVOD/88888910/224/3221225635/index.m3u8
CCTV9[纪录],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV10[科教],http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10[科教],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878405
CCTV10[科教],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel10/index.m3u8
CCTV10[科教],http://39.134.115.163:8080/TVOD/88888910/224/3221225626/index.m3u8
CCTV10[科教],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV10[科教],http://111.20.33.70/TVOD/88888893/224/3221226189/index.m3u8
CCTV11[戏曲],http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11[戏曲],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV11[戏曲],http://39.134.115.163:8080/TVOD/88888910/224/3221225627/index.m3u8
CCTV11[戏曲],http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV12[社会],http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV12[社会],http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168185
CCTV12[社会],http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel11/index.m3u8
CCTV12[社会],http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8
