央视,#genre#
CCTV1,http://angtv.cc/live/as.php?id=cctv1hd
CCTV2,http://angtv.cc/live/as.php?id=cctv2hd
CCTV3,http://angtv.cc/live/as.php?id=cctv3hd
CCTV4,http://angtv.cc/live/as.php?id=cctv4hd
CCTV5,http://angtv.cc/live/as.php?id=cctv5hd
CCTV5+,http://angtv.cc/live/as.php?id=cctv5p
CCTV6,http://angtv.cc/live/as.php?id=cctv6hd
CCTV7,http://angtv.cc/live/as.php?id=cctv7hd
CCTV8,http://angtv.cc/live/as.php?id=cctv8hd
CCTV9,http://angtv.cc/live/as.php?id=cctv9hd2
CCTV10,http://angtv.cc/live/as.php?id=cctv10hd
CCTV11,http://angtv.cc/live/as.php?id=cctv11hd
CCTV12,http://angtv.cc/live/as.php?id=cctv12hd
CCTV13,http://angtv.cc/live/as.php?id=cctv13hd
CCTV14,http://angtv.cc/live/as.php?id=cctv14hd
CCTV15,http://angtv.cc/live/as.php?id=cctv15hd
CCTV16,http://angtv.cc/live/as.php?id=cctv16hd
CCTV16-4K,http://angtv.cc/live/as.php?id=cctv164K
CCTV17,http://angtv.cc/live/as.php?id=cctv17hd
CGTN,http://angtv.cc/live/as.php?id=cgtnf
CGTN,http://angtv.cc/live/as.php?id=cgtnr
CGTN,http://angtv.cc/live/as.php?id=cgtne
CGTN,http://angtv.cc/live/as.php?id=cgtna

卫视,#genre#
湖南卫视,http://angtv.cc/test/as.php?id=hunwshd
浙江卫视,http://angtv.cc/test/as.php?id=zjwshd
东方卫视,http://angtv.cc/test/as.php?id=dfwshd
江苏卫视,http://angtv.cc/test/as.php?id=jswshd

湖南卫视,http://angtv.cc/live/as.php?id=hunwshd
浙江卫视,http://angtv.cc/live/as.php?id=zjwshd
东方卫视,http://angtv.cc/live/as.php?id=dfwshd
江苏卫视,http://angtv.cc/live/as.php?id=jswshd
北京卫视,http://angtv.cc/live/as.php?id=bjwshd
深圳卫视,http://angtv.cc/live/as.php?id=szwshd
山东卫视,http://angtv.cc/live/as.php?id=sdwshd
广东卫视,http://angtv.cc/live/as.php?id=gdwshd
安徽卫视,http://angtv.cc/live/as.php?id=ahwshd
东南卫视,http://angtv.cc/live/as.php?id=dnwshd
山西卫视,http://live.cooltv.top/tv/tide.php?id=sxiws2
天津卫视,http://angtv.cc/live/as.php?id=tjwshd
河北卫视,http://angtv.cc/live/as.php?id=hbwshd
贵州卫视,http://angtv.cc/live/as.php?id=gzwshd
江西卫视,http://angtv.cc/live/as.php?id=jxws
新疆卫视,http://angtv.cc/live/as.php?id=xjws
内蒙古卫视,http://angtv.cc/live/as.php?id=nmws
厦门卫视,http://angtv.cc/live/as.php?id=xmws
西藏卫视,http://angtv.cc/live/as.php?id=xzws
甘肃卫视,http://angtv.cc/live/as.php?id=gsws
青海卫视,http://angtv.cc/live/as.php?id=qhws
陕西卫视,http://angtv.cc/live/as.php?id=sxws
河南卫视,http://angtv.cc/live/as.php?id=hnws
四川卫视,http://angtv.cc/live/as.php?id=scws
重庆卫视,http://angtv.cc/live/as.php?id=cqws
广西卫视,http://angtv.cc/live/as.php?id=gxws
海南卫视,http://angtv.cc/live/as.php?id=hinws
兵团卫视,http://angtv.cc/live/as.php?id=btws
宁夏卫视,http://angtv.cc/live/as.php?id=nxws
云南卫视,http://angtv.cc/live/as.php?id=ynws
三沙卫视,http://angtv.cc/live/as.php?id=ssws
康巴卫视,http://angtv.cc/live/as.php?id=kbws
黑龙江卫视,http://angtv.cc/live/as.php?id=hljws
吉林卫视,http://angtv.cc/live/as.php?id=jlws
辽宁卫视,http://angtv.cc/live/as.php?id=lnws
湖北卫视,http://angtv.cc/live/as.php?id=hubwshd
CETV1HD,http://angtv.cc/live/as.php?id=cetv1hd
CETV2,http://angtv.cc/live/as.php?id=cetv2
CETV4,http://angtv.cc/live/as.php?id=cetv4

其它,#genre#
爱上4K,http://angtv.cc/live/as.php?id=as4k
CHC家庭影院,http://angtv.cc/live/as.php?id=chcjtyy
CHC高清电影,http://angtv.cc/live/as.php?id=chcgqdy
CHC动作电影,http://angtv.cc/live/as.php?id=chcdzdy
山东教育,http://angtv.cc/live/as.php?id=sdjy
金鹰纪实,http://angtv.cc/live/as.php?id=jyjs
金鹰卡通,http://angtv.cc/live/as.php?id=jykt
北京卡酷少儿,http://angtv.cc/live/as.php?id=kkse
嘉佳卡通,http://angtv.cc/live/as.php?id=jjkt
新动漫,http://angtv.cc/live/as.php?id=xdm
先锋乒羽,http://angtv.cc/live/as.php?id=xfpy
财富天下,http://angtv.cc/live/as.php?id=cftx
