央视,#genre#
CCTV1综合,http://angtv.cc/test/gehua.php?id=cctv1
CCTV1综合HD,http://angtv.cc/test/gehua.php?id=cctv1hd
CCTV1综合HD2,http://angtv.cc/test/gehua.php?id=cctv1hd2
CCTV2财*,http://angtv.cc/test/gehua.php?id=cctv2
CCTV2财*HD,http://angtv.cc/test/gehua.php?id=cctv2hd
CCTV3综艺,http://angtv.cc/test/gehua.php?id=cctv3
CCTV3综艺HD,http://angtv.cc/test/gehua.php?id=cctv3hd
CCTV4中文国际,http://angtv.cc/test/gehua.php?id=cctv4
CCTV4中文国际HD,http://angtv.cc/test/gehua.php?id=cctv4hd
CCTV5体育,http://angtv.cc/test/gehua.php?id=cctv5
CCTV5体育HD,http://angtv.cc/test/gehua.php?id=cctv5hd
CCTV5+体育赛事,http://angtv.cc/test/gehua.php?id=cctv5p
CCTV5+体育赛事,http://angtv.cc/test/gehua.php?id=cctv5phd
CCTV6电影,http://angtv.cc/test/gehua.php?id=cctv6
CCTV6电影HD,http://angtv.cc/test/gehua.php?id=cctv6hd
CCTV7国防军事,http://angtv.cc/test/gehua.php?id=cctv7
CCTV7国防军事HD,http://angtv.cc/test/gehua.php?id=cctv7hd
CCTV8电视剧,http://angtv.cc/test/gehua.php?id=cctv8
CCTV8电视剧HD,http://angtv.cc/test/gehua.php?id=cctv8hd
CCTV9纪录,http://angtv.cc/test/gehua.php?id=cctv9
CCTV9纪录HD,http://angtv.cc/test/gehua.php?id=cctv9hd
CCTV10科教,http://angtv.cc/test/gehua.php?id=cctv10
CCTV10科教HD,http://angtv.cc/test/gehua.php?id=cctv10hd
CCTV11戏曲,http://angtv.cc/test/gehua.php?id=cctv11
CCTV11戏曲2,http://angtv.cc/test/gehua.php?id=cctv11b
CCTV11戏曲3,http://angtv.cc/test/gehua.php?id=cctv11c
CCTV12社会与法,http://angtv.cc/test/gehua.php?id=cctv12
CCTV12社会与法HD,http://angtv.cc/test/gehua.php?id=cctv12hd
CCTV13新闻,http://angtv.cc/test/gehua.php?id=cctv13
CCTV13新闻2,http://angtv.cc/test/gehua.php?id=cctv13b
CCTV13新闻3,http://angtv.cc/test/gehua.php?id=cctv13c
CCTV14少儿,http://angtv.cc/test/gehua.php?id=cctv14
CCTV14少儿HD,http://angtv.cc/test/gehua.php?id=cctv14hd
CCTV15音乐,http://angtv.cc/test/gehua.php?id=cctv15
CCTV15音乐2,http://angtv.cc/test/gehua.php?id=cctv15b
CCTV16奥林匹克,http://angtv.cc/test/gehua.php?id=cctv16
CCTV16奥林匹克HD,http://angtv.cc/test/gehua.php?id=cctv16hd
CCTV17农业农村,http://angtv.cc/test/gehua.php?id=cctv17
CCTV17农业农村HD,http://angtv.cc/test/gehua.php?id=cctv17hd
种养新影-发现之旅,http://angtv.cc/test/gehua.php?id=fxzl
种养新影-发现之旅2,http://angtv.cc/test/gehua.php?id=fxzl2
种养新影-老故事,http://angtv.cc/test/gehua.php?id=lgs
种养新影-老故事2,http://angtv.cc/test/gehua.php?id=lgs2
CCTV央广购物,http://angtv.cc/test/gehua.php?id=yggw
CCTV央广购物2,http://angtv.cc/test/gehua.php?id=yggw2
CCTV中视购物,http://angtv.cc/test/gehua.php?id=zsgw
CCTV中视购物2,http://angtv.cc/test/gehua.php?id=zsgw2
CGTN,http://angtv.cc/test/gehua.php?id=cgtn
CGTN2,http://angtv.cc/test/gehua.php?id=cgtn2
书画频道,http://angtv.cc/test/gehua.php?id=sh
书画频道2,http://angtv.cc/test/gehua.php?id=sh2
中国天气,http://angtv.cc/test/gehua.php?id=zgtq
中国天气2,http://angtv.cc/test/gehua.php?id=zgtq2

中国教育电视台,#genre#
CETV1中教1台,http://angtv.cc/test/gehua.php?id=cetv1
CETV1中教1台HD,http://angtv.cc/test/gehua.php?id=cetv1hd
CETV3中教3台,http://angtv.cc/test/gehua.php?id=cetv3
CETV3中教3台2,http://angtv.cc/test/gehua.php?id=cetv3b
CETV4中教4台,http://angtv.cc/test/gehua.php?id=cetv4
CETV4中教4台2,http://angtv.cc/test/gehua.php?id=cetv4b
CETV早期教育,http://angtv.cc/test/gehua.php?id=zqjy
CETV早期教育2,http://angtv.cc/test/gehua.php?id=zqjy2

CHC系列,#genre#
CHC高清电影,http://angtv.cc/test/gehua.php?id=chcgq
CHC高清电影HD,http://angtv.cc/test/gehua.php?id=chcgqhd
CHC动作电影,http://angtv.cc/test/gehua.php?id=chcdz
CHC动作电影2,http://angtv.cc/test/gehua.php?id=chcdz2
CHC家庭影院,http://angtv.cc/test/gehua.php?id=chcjt
CHC家庭影院2,http://angtv.cc/test/gehua.php?id=chcjt2

卫视,#genre#
北京卫视,http://angtv.cc/test/gehua.php?id=bjws
北京卫视HD,http://angtv.cc/test/gehua.php?id=bjhd
北京卫视HD,http://angtv.cc/test/gehua.php?id=bjhd2
东方卫视,http://angtv.cc/test/gehua.php?id=dfws
东方卫视HD,http://angtv.cc/test/gehua.php?id=dfhd
