好趣网/parse,#genre#
cctv1,http://tv.haoqu99.com/1/cctv1.html
cctv2,http://tv.haoqu99.com/1/347.html
cctv3,http://tv.haoqu99.com/1/cctv3.html
cctv4,http://tv.haoqu99.com/1/cctv4.html
cctv5,http://tv.haoqu99.com/1/cctv5.html
cctv5+,http://tv.haoqu99.com/1/cctv5+.html
cctv6,http://tv.haoqu99.com/1/cctv6.html
cctv7,http://tv.haoqu99.com/1/cctv7.html
cctv8,http://tv.haoqu99.com/1/353.html
cctv9,http://tv.haoqu99.com/1/cctv9.html
cctv10,http://tv.haoqu99.com/1/cctv10.html
cctv11,http://tv.haoqu99.com/1/cctv11.html
cctv12,http://tv.haoqu99.com/1/cctv12.html
cctv13,http://tv.haoqu99.com/1/cctv13.html
cctv14,http://tv.haoqu99.com/1/cctv14.html
cctv15,http://tv.haoqu99.com/1/cctv15.html
cctv16,http://tv.haoqu99.com/1/cctv16.html
cctv17,http://tv.haoqu99.com/1/cctv17.html
cctv4K,http://tv.haoqu99.com/1/cctv4k.html

Everydaytv,#genre#
纬来体育,https://everydaytv.top/play-3-148-1.html/parse
纬来体育,https://everydaytv.top/play-3-148-0.html/parse
TVBS新闻台,https://everydaytv.top/play-3-142-1.html/parse
