YouTube新闻,#genre#
凤凰资讯,https://www.youtube.com/watch?v=if6yQq_JJyY
TVBS HD,https://www.youtube.com/watch?v=YvdcZ_jpLXE
TVBS新闻,https://www.youtube.com/watch?v=2mCSYvcfhtc
东森LIVE,https://www.youtube.com/watch?v=R2iMq5LKXco
中天新闻,https://www.youtube.com/watch?v=oIgbl7t0S_w
寰宇新闻,https://www.youtube.com/watch?v=B7Zp3d6xXWw
中视新闻,https://www.youtube.com/watch?v=TCnaIE_SAtM
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8
民视新闻台,https://www.youtube.com/live/ylYJSBUgaMA
三立新闻台,https://www.youtube.com/watch?v=CKjSm5ZeehE
镜新闻,https://www.youtube.com/live/5n0y6b0Q25o
