📺央视,#genre#央视
CCTV1综合,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225777/1/index.m3u8?fmt=ts2hls
CCTV2财经,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV3综艺,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV4中文国际,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls
CCTV5体育,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls
CCTV6电影,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV7国防军事,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV8电视剧,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV9纪录,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV10科教,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV11戏曲,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls
CCTV12社会与法,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV13新闻,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls
CCTV14少儿,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
CCTV15音乐,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225749/1/index.m3u8?fmt=ts2hls
CCTV16奥林匹克,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226283/1/index.m3u8?fmt=ts2hls
CCTV17农业农村,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226027/1/index.m3u8?fmt=ts2hls
CCTV5+体育赛事,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226128/1/index.m3u8?fmt=ts2hls
风云剧场,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226107/1/index.m3u8?fmt=ts2hls
第一剧场,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226124/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls
世界地理,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
风云音乐,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls
兵器科技,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
风云足球,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226153/1/index.m3u8?fmt=ts2hls
高尔夫网球,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls
女性时尚,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226104/1/index.m3u8?fmt=ts2hls
央视文化精品,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226100/1/index.m3u8?fmt=ts2hls
央视台球,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226117/1/index.m3u8?fmt=ts2hls
电视指南,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls
CGTN,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226297/1/index.m3u8?fmt=ts2hls
CGTN法语,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226265/1/index.m3u8?fmt=ts2hls
CGTN俄语,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226278/1/index.m3u8?fmt=ts2hls
CGTN阿拉伯语,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226281/1/index.m3u8?fmt=ts2hls
CGTN西班牙语,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226284/1/index.m3u8?fmt=ts2hls
CGTN纪录,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226271/1/index.m3u8?fmt=ts2hls

CCTV1综合,http://angtv.cc/live/aikan.php?id=cctv1
CCTV2财经,http://angtv.cc/live/aikan.php?id=cctv2
CCTV3综艺,http://angtv.cc/live/aikan.php?id=cctv3
CCTV4中文国际,http://angtv.cc/live/aikan.php?id=cctv4
CCTV5体育,http://angtv.cc/live/aikan.php?id=cctv5
CCTV5+体育赛事,http://angtv.cc/live/aikan.php?id=cctv5p2
CCTV6电影,http://angtv.cc/live/aikan.php?id=cctv6
CCTV7国防军事,http://angtv.cc/live/aikan.php?id=cctv7
CCTV8电视剧,http://angtv.cc/live/aikan.php?id=cctv8
CCTV9纪录,http://angtv.cc/live/aikan.php?id=cctv9
CCTV10科教,http://angtv.cc/live/aikan.php?id=cctv10
CCTV11戏曲,http://angtv.cc/live/aikan.php?id=cctv11
CCTV12社会与法,http://angtv.cc/live/aikan.php?id=cctv12
CCTV13新闻,http://angtv.cc/live/aikan.php?id=cctv13
CCTV14少儿,http://angtv.cc/live/aikan.php?id=cctv14
CCTV15音乐,http://angtv.cc/live/aikan.php?id=cctv15
CCTV17农业农村,http://angtv.cc/live/aikan.php?id=cctv17

CCTV1综合,http://angtv.cc/test/ysp.php?id=cctv1
CCTV2财经,http://angtv.cc/test/ysp.php?id=cctv2
CCTV3综艺,http://angtv.cc/test/ysp.php?id=cctv3
CCTV4中文国际,http://angtv.cc/test/ysp.php?id=cctv4
CCTV5体育,http://angtv.cc/test/ysp.php?id=cctv5
CCTV6电影,http://angtv.cc/test/ysp.php?id=cctv6
CCTV7国防军事,http://angtv.cc/test/ysp.php?id=cctv7
CCTV8电视剧,http://angtv.cc/test/ysp.php?id=cctv8
CCTV9纪录,http://angtv.cc/test/ysp.php?id=cctv9
CCTV10科教,http://angtv.cc/test/ysp.php?id=cctv10
