北京台/parse,#genre#
北京新闻广播,https://www.qingting.fm/radios/339
北京交通广播,https://www.qingting.fm/radios/336
北京文艺广播,https://www.qingting.fm/radios/333
北京体育广播,https://www.qingting.fm/radios/335
959年代音乐怀旧好声音,https://www.qingting.fm/radios/5021381
北京音乐广播,https://www.qingting.fm/radios/332
经典调频北京FM969,https://www.qingting.fm/radios/20462
北京城市广播,https://www.qingting.fm/radios/345
怀旧音乐广播895,https://www.qingting.fm/radios/20211619
京津冀之声,https://www.qingting.fm/radios/5022463
流行音乐广播999正青春,https://www.qingting.fm/radios/20211620
北京大兴人民广播电台FM986,https://www.qingting.fm/radios/5021739
北京新城1077 WHIZRADIO,https://www.qingting.fm/radios/20500023

天津台/parse,#genre#
天津TIKI FM100.5,https://www.qingting.fm/radios/20003
经典FM1008,https://www.qingting.fm/radios/20212227

河北台/parse,#genre#
河北新闻广播,https://www.qingting.fm/radios/1644
河北音乐广播,https://www.qingting.fm/radios/1649
河北交通广播,https://www.qingting.fm/radios/1646
经典音乐 FM90.5,https://www.qingting.fm/radios/20212269
汽车音乐台,https://www.qingting.fm/radios/5021743
邯郸新闻综合广播,https://www.qingting.fm/radios/5072
河北综合广播,https://www.qingting.fm/radios/20500111
石家庄新闻广播,https://www.qingting.fm/radios/1652
怀旧金曲964,https://www.qingting.fm/radios/5021555
石家庄交通广播,https://www.qingting.fm/radios/1655
邯郸都市生活广播,https://www.qingting.fm/radios/3951
武安融媒综合广播,https://www.qingting.fm/radios/5022474
河北文艺广播,https://www.qingting.fm/radios/4868
邯郸交通广播,https://www.qingting.fm/radios/3950
献县人民广播电台,https://www.qingting.fm/radios/5022603
定州交通音乐广播,https://www.qingting.fm/radios/20211638
河北故事广播,https://www.qingting.fm/radios/1645
河北旅游文化广播,https://www.qingting.fm/radios/1651
秦皇岛交通广播,https://www.qingting.fm/radios/20849
任丘融媒体中心综合广播,https://www.qingting.fm/radios/5022470
石家庄音乐广播,https://www.qingting.fm/radios/1654
畅行951,https://www.qingting.fm/radios/3948
年代965,https://www.qingting.fm/radios/5022038
秦皇岛新闻综合广播,https://www.qingting.fm/radios/20855
衡水交通广播925,https://www.qingting.fm/radios/5021940
秦皇岛1038私家车广播,https://www.qingting.fm/radios/20859
衡水湖城之声961,https://www.qingting.fm/radios/5021857
保定新闻广播,https://www.qingting.fm/radios/5022440
河北农民广播,https://www.qingting.fm/radios/1650
石家庄经济广播,https://www.qingting.fm/radios/1653
唐山音乐广播,https://www.qingting.fm/radios/4871
保定1058飞扬调频汽车音乐广播,https://www.qingting.fm/radios/5021803
廊坊飞扬105,https://www.qingting.fm/radios/20211678
沧州音乐广播FM103.6,https://www.qingting.fm/radios/5021902
唐山交通文艺,https://www.qingting.fm/radios/1659
河北生活广播,https://www.qingting.fm/radios/4867
邢台综合广播,https://www.qingting.fm/radios/20211628
保定交通广播,https://www.qingting.fm/radios/20168
承德综合广播,https://www.qingting.fm/radios/20500052
涉县交通音乐广播,https://www.qingting.fm/radios/20211631
张家口交通广播,https://www.qingting.fm/radios/5021910
秦皇岛音乐广播,https://www.qingting.fm/radios/20835
保定城市服务广播乐动1016,https://www.qingting.fm/radios/20406
FM93.0霸州汽车音乐广播,https://www.qingting.fm/radios/20211658
唐山新闻综合,https://www.qingting.fm/radios/1657
河间市融媒体中心综合广播,https://www.qingting.fm/radios/15318503
魏县鸭梨音乐广播,https://www.qingting.fm/radios/20212412
邯郸音乐广播,https://www.qingting.fm/radios/4601
张家口986音乐广播,https://www.qingting.fm/radios/5021801
张家口旅游广播,https://www.qingting.fm/radios/5021507
沧州交通广播,https://www.qingting.fm/radios/3954
976承德交通文艺广播,https://www.qingting.fm/radios/15318216
交通933,https://www.qingting.fm/radios/20211627
沧州1058汽车音乐广播,https://www.qingting.fm/radios/5021914
久久金曲 FM99.9,https://www.qingting.fm/radios/20211694
FM99.8保定经济广播,https://www.qingting.fm/radios/20166
衡水综合广播,https://www.qingting.fm/radios/5022040
青春调频 FM105.4,https://www.qingting.fm/radios/20212203
沧州1023都市广播,https://www.qingting.fm/radios/5022536
邢台交通音乐广播,https://www.qingting.fm/radios/15318481
欢乐调频,https://www.qingting.fm/radios/15318317
沧州新闻广播,https://www.qingting.fm/radios/5021901
辛集融媒体中心综合广播,https://www.qingting.fm/radios/5021959
唐山小说娱乐广播,https://www.qingting.fm/radios/1660
秦皇岛生活广播,https://www.qingting.fm/radios/20857
肥乡人民广播电台,https://www.qingting.fm/radios/20500104
唐山经济生活广播,https://www.qingting.fm/radios/15318431
FM999 犀牛电台,https://www.qingting.fm/radios/20211668
承德旅游音乐广播,https://www.qingting.fm/radios/15318158
肃宁融媒体中心综合广播,https://www.qingting.fm/radios/20500183
邢台爱在104,https://www.qingting.fm/radios/5022484
泊头人民广播电台,https://www.qingting.fm/radios/20500164
邢台生活广播,https://www.qingting.fm/radios/15318265
张家口1074综合广播,https://www.qingting.fm/radios/15318285
抗大之声,https://www.qingting.fm/radios/20500096
怀来人民广播电台 FM95.4,https://www.qingting.fm/radios/5022643
宣化区融媒体中心快乐FM91.3,https://www.qingting.fm/radios/15318538
fm901磁县融媒综合广播,https://www.qingting.fm/radios/20500116
FM106峰峰人民广播电台,https://www.qingting.fm/radios/20500109
丰宁调频101,https://www.qingting.fm/radios/20211322
蔚县人民广播电台FM89.5,https://www.qingting.fm/radios/20500069
崇礼综合广播,https://www.qingting.fm/radios/20500100
广平融媒体中心综合广播,https://www.qingting.fm/radios/20500131

上海台/parse,#genre#
上海新闻广播,https://www.qingting.fm/radios/270
第一财经广播,https://www.qingting.fm/radios/276
上海流行音乐LoveRadio,https://www.qingting.fm/radios/273
上海动感101,https://www.qingting.fm/radios/274
上海五星体育,https://www.qingting.fm/radios/4928
长三角之声,https://www.qingting.fm/radios/275
上海交通广播电台,https://www.qingting.fm/radios/266
上海经典947,https://www.qingting.fm/radios/267
上海戏曲广播,https://www.qingting.fm/radios/269
上海沸点100音乐广播,https://www.qingting.fm/radios/5022341
上海KFM981,https://www.qingting.fm/radios/5022023
上海故事广播,https://www.qingting.fm/radios/268
闵行人民广播电台,https://www.qingting.fm/radios/20202
东上海之声FM106.5,https://www.qingting.fm/radios/21355
金山区广播电视台综合广播,https://www.qingting.fm/radios/4022

山西台/parse,#genre#
FM107太原交通广播,https://www.qingting.fm/radios/4900
880山西交通广播,https://www.qingting.fm/radios/20007
FM1044太原经济广播,https://www.qingting.fm/radios/4018
太原老年之声广播,https://www.qingting.fm/radios/20211701
山西音乐广播,https://www.qingting.fm/radios/4932
FM912太原综合广播,https://www.qingting.fm/radios/20006
山西综合广播FM904,https://www.qingting.fm/radios/20491
